filename,RA,Dec,label1,label2,label3,distance,source_type
0.250 -25.084_[0.02238656 0.02238656] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.2504187960,-25.0842030600,FR II,,,0.0004302325,typical
0.316 -24.707_[0.0166409 0.0166409] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.3162636400,-24.7070761700,FR II,,,0.0002513258,typical
0.327 -24.571_[0.02705031 0.02705031] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.3266046950,-24.5708191400,Bent,,,0.0004024390,typical
0.371 -24.554_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.3713377420,-24.5539906000,Bent,,,0.0003073443,typical
0.425 -25.211_[0.02334787 0.02334787] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.4253157620,-25.2106486200,Bent,,,0.0004528607,typical
0.443 -24.577_[0.01654048 0.01654048] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.4434368730,-24.5773564200,FR II,,,0.0005337390,typical
0.578 -24.667_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.5775364500,-24.6668435000,Bent,,,0.0004493835,typical
0.578 -24.924_[0.01992274 0.01992274] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.5775999870,-24.9243249700,Bent,,,0.0004870305,typical
0.776 -23.934_[0.01752877 0.01752877] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.7757308720,-23.9343616000,FR I,,,0.0004373372,typical
0.841 -24.600_[0.01357421 0.01357421] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.0135436320,-24.4883232900,FR I,,,0.1926288170,typical
0.855 -24.127_[0.02155505 0.02155505] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.8554793200,-24.1265926600,FR II,,,0.0005977355,typical
0.901 -25.128_[0.02826685 0.02826685] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.9006711200,-25.1277966800,FR II,,,0.0003605524,typical
0.947 -23.714_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.7757308720,-23.9343616000,FR I,,,0.2703817488,typical
0.950 -25.400_[0.02690134 0.02690134] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.9502406360,-25.3999493100,FR II,,,0.0002232059,typical
0.962 -24.788_[0.01966924 0.01966924] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.9615864190,-24.7882863700,FR II,,,0.0004722179,typical
0.978 -24.787_[0.01987234 0.01987234] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.9784378350,-24.7865859500,FR II,,,0.0005739715,typical
0.980 -25.357_[0.04106847 0.04106847] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.9797599240,-25.3567213900,FR II,,,0.0003531136,typical
1.009 -24.185_[0.02602817 0.02602817] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.0090603620,-24.1850210100,FR II,,,0.0000589351,typical
1.014 -24.488_[0.01876357 0.01876357] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.0135436320,-24.4883232900,FR I,,,0.0005263125,typical
1.104 -24.305_[0.03117146 0.03117146] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1036889900,-24.3046513500,FR II,,,0.0004493316,typical
1.192 -25.255_[0.01996831 0.01996831] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1916806700,-25.2551499300,FR I,,,0.0003254054,typical
1.246 -24.786_[0.0282954 0.0282954] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2464923550,-24.7859500000,FR I,,,0.0004497864,typical
1.284 -24.706_[0.02076488 0.02076488] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2839067200,-24.7058632600,Bent,,,0.0001608723,typical
1.287 -24.866_[0.05150188 0.05150188] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.2874835340,-24.8658887400,FR I,,,0.0004525967,typical
1.303 -24.834_[0.0306213 0.0306213] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.3027750950,-24.8336272500,FR II,,,0.0004249744,typical
1.320 -24.518_[0.02199431 0.02199431] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.3204642680,-24.5180839400,FR II,,,0.0004306643,typical
1.422 -24.871_[0.03669875 0.03669875] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4217629350,-24.8708762400,FR I,,,0.0002481428,typical
1.429 -24.233_[0.01811133 0.01811133] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4290656140,-24.2333560400,FR II,,,0.0003610322,typical
1.440 -25.478_[0.02297133 0.02297133] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4398962490,-25.4779126600,FR II,,,0.0001280660,typical
1.473 -23.657_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4728413110,-23.6569316200,Bent,,,0.0001606366,typical
1.500 -24.423_[0.03779859 0.03779859] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.4996535140,-24.4230003100,FR II,,,0.0003154829,typical
