filename,RA,Dec
0.280 -84.980_[0.0173389 0.0173389] deg_(J2340.1-8510.Fix.1pln-forPyBDSF.FITS).fits.png,0.2800000000,-84.9800000000
0.315 -85.347_[0.009 0.009] deg_(J2340.1-8510.Fix.1pln-forPyBDSF.FITS).fits.png,0.3150000000,-85.3470000000
0.408 -24.969_[0.0104705 0.0104705] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.4080000000,-24.9690000000
0.443 -24.640_[0.00998684 0.00998684] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.4430000000,-24.6400000000
0.448 -24.695_[0.01117851 0.01117851] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.4480000000,-24.6950000000
0.558 -24.367_[0.00955016 0.00955016] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.5580000000,-24.3670000000
0.562 -85.718_[0.009 0.009] deg_(J2340.1-8510.Fix.1pln-forPyBDSF.FITS).fits.png,0.5620000000,-85.7180000000
0.581 -24.671_[0.07448269 0.07448269] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.5810000000,-24.6710000000
0.624 -84.625_[0.01075882 0.01075882] deg_(J2340.1-8510.Fix.1pln-forPyBDSF.FITS).fits.png,0.6240000000,-84.6250000000
0.680 -24.755_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.6800000000,-24.7550000000
0.710 -25.068_[0.01096115 0.01096115] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.7100000000,-25.0680000000
0.710 -25.274_[0.00995127 0.00995127] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.7100000000,-25.2740000000
0.768 -24.734_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.7680000000,-24.7340000000
0.769 -24.750_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.7690000000,-24.7500000000
0.802 -24.905_[0.01836448 0.01836448] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.8020000000,-24.9050000000
0.815 -24.799_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.8150000000,-24.7990000000
0.832 -24.709_[0.01103393 0.01103393] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.8320000000,-24.7090000000
0.847 -24.167_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.8470000000,-24.1670000000
0.851 -24.632_[0.01254557 0.01254557] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.8510000000,-24.6320000000
0.892 -24.218_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.8920000000,-24.2180000000
0.900 -25.448_[0.0099541 0.0099541] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.9000000000,-25.4480000000
0.923 -24.804_[0.01591286 0.01591286] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.9230000000,-24.8040000000
0.947 -25.340_[0.01108674 0.01108674] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.9470000000,-25.3400000000
0.971 -24.290_[0.01425203 0.01425203] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,0.9710000000,-24.2900000000
1.032 -24.344_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.0320000000,-24.3440000000
1.068 -24.605_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.0680000000,-24.6050000000
1.069 -24.397_[0.01234522 0.01234522] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.0690000000,-24.3970000000
1.077 -24.450_[0.00981442 0.00981442] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.0770000000,-24.4500000000
1.091 -24.631_[0.01379885 0.01379885] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.0910000000,-24.6310000000
1.100 -24.445_[0.01427598 0.01427598] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1000000000,-24.4450000000
1.101 -24.996_[0.01417947 0.01417947] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1010000000,-24.9960000000
1.109 -24.936_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1090000000,-24.9360000000
1.118 -24.696_[0.01247401 0.01247401] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1180000000,-24.6960000000
1.129 -24.866_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1290000000,-24.8660000000
1.130 -25.121_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1300000000,-25.1210000000
1.144 -24.526_[0.01511149 0.01511149] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1440000000,-24.5260000000
1.158 -24.189_[0.009 0.009] deg_(Abell_141_1pln-forPyBDSF.FITS).fits.png,1.1580000000,-24.1890000000
1.159 -66.941_[0.0095674 0.0095674] deg_(J0014.3-6604.Fix.1pln-forPyBDSF.FITS).fits.png,1.1590000000,-66.9410000000
